date,advertiser_id,campaign_id,channel,region,impressions,clicks,spend,conversions,revenue
2024-04-18,ADV001,CMP2555,Native,EMEA,7167,330,1042.3,11,811.12
2024-04-19,ADV001,CMP3679,Native,EMEA,6526,310,949.05,7,628.46
2024-04-20,ADV001,CMP2301,Native,EMEA,4370,178,635.55,7,970.69
2024-04-21,ADV001,CMP6475,Native,EMEA,2869,119,417.28,4,189.87
2024-04-22,ADV001,CMP5263,Native,EMEA,5597,212,814.05,8,296.42
2024-04-24,ADV001,CMP5225,Native,EMEA,5730,315,833.3,10,1540.97
2024-04-26,ADV001,CMP2333,Native,EMEA,5945,223,864.55,6,397.15
2024-04-27,ADV001,CMP2762,Native,EMEA,4295,188,624.65,6,823.27
2024-04-28,ADV001,CMP8970,Native,EMEA,6139,222,892.83,5,381.23
2024-04-29,ADV001,CMP5090,Native,EMEA,5388,239,783.61,8,508.35
2024-04-30,ADV001,CMP6604,Native,EMEA,6438,298,936.37,8,1386.46
2024-05-01,ADV001,CMP9238,Native,EMEA,5798,226,843.17,8,786.46
2024-05-03,ADV001,CMP4294,Native,EMEA,3730,149,542.47,5,254.08
2024-05-04,ADV001,CMP8980,Native,EMEA,5143,201,748.02,7,1068.39
2024-05-06,ADV001,CMP9684,Native,EMEA,7051,260,1025.5,8,850.55
2024-05-07,ADV001,CMP3032,Native,EMEA,5296,221,770.23,8,1362.01
2024-05-08,ADV001,CMP2165,Native,EMEA,8131,321,1182.55,10,874.17
2024-05-10,ADV001,CMP9056,Native,EMEA,7256,324,1055.25,12,772.35
2024-05-11,ADV001,CMP8827,Native,EMEA,6770,273,984.63,9,1063.31
2024-05-12,ADV001,CMP7402,Native,EMEA,6450,286,938.03,9,353.29
2024-05-13,ADV001,CMP8312,Native,EMEA,6285,297,914.01,10,1155.64
2024-05-15,ADV001,CMP2640,Native,EMEA,4198,159,610.62,4,423.66
2024-05-18,ADV001,CMP6295,Native,EMEA,5680,0,826.04,7,455.16
2024-05-19,ADV001,CMP3745,Native,EMEA,5989,232,871.01,8,1249.54
2024-05-20,ADV001,CMP2704,Native,EMEA,6315,324,918.44,11,1137.42
2024-05-23,ADV001,CMP6150,Native,EMEA,6412,275,932.49,8,402.2
2024-05-24,ADV001,CMP6343,Native,EMEA,5368,199,-780.68,6,905.25
2024-05-27,ADV001,CMP6352,Native,EMEA,6264,250,910.95,7,150.16
2024-05-28,ADV001,CMP9073,Native,EMEA,7003,239,1018.46,8,246.83
2024-05-29,ADV001,CMP8813,Native,EMEA,6174,237,897.94,9,1112.51
2024-05-31,ADV001,CMP4155,Native,EMEA,5634,198,819.42,6,912.88
2024-06-01,ADV001,CMP6626,Native,EMEA,8002,322,1163.77,9,1538.81
2024-06-02,ADV001,CMP6776,Native,EMEA,6327,272,920.13,7,1108.08
2024-06-05,ADV001,CMP8725,Native,EMEA,8333,329,1211.88,11,1622.36
2024-06-06,ADV001,CMP1583,Native,EMEA,4916,218,714.98,6,274.39
2024-06-08,ADV001,CMP5197,Native,EMEA,6991,273,1016.69,6,696.02
2024-06-09,ADV001,CMP9032,Native,EMEA,7733,352,1124.63,11,1068.95
2024-06-10,ADV001,CMP8014,Native,EMEA,6671,267,970.14,8,202.5
2024-06-12,ADV001,CMP4389,Native,EMEA,7033,295,1022.83,11,1298.78
2024-06-13,ADV001,CMP1894,Native,EMEA,8261,328,1201.38,14,1760.24
2024-06-14,ADV001,CMP2927,Native,EMEA,8681,367,1262.47,11,1754.34
2024-06-15,ADV001,CMP9503,Native,EMEA,6038,233,878.12,7,321.07
2024-06-16,ADV001,CMP1158,Native,EMEA,5271,232,766.63,7,174.33
2024-06-17,ADV001,CMP5703,Native,EMEA,6866,297,998.54,11,1514.22
2024-06-18,ADV001,CMP5732,Native,EMEA,6515,257,947.55,10,1468.73
2024-06-20,ADV001,CMP1525,Native,EMEA,8567,413,1245.94,15,615.76
2024-06-21,ADV001,CMP9321,Native,EMEA,7000,279,1017.96,7,1115.24
2024-06-23,ADV001,CMP8062,Native,EMEA,6554,242,3981.22,6,943.67
2024-06-24,ADV001,CMP1575,Native,EMEA,6706,234,975.2,8,711.54
2024-06-27,ADV001,CMP2925,Native,EMEA,6026,264,876.41,6,870.52
2024-07-02,ADV001,CMP2239,Native,EMEA,6458,234,939.23,7,708.1
2024-07-03,ADV001,CMP7294,Native,EMEA,7148,298,1039.53,10,606.76
2024-07-06,ADV001,CMP7089,Native,EMEA,7344,265,1068.0,8,1271.22
2024-07-09,ADV001,CMP4124,Native,EMEA,8893,384,1293.3,13,495.27
2024-07-10,ADV001,CMP4828,Native,EMEA,4410,203,641.42,7,496.28
2024-07-11,ADV001,CMP8761,Native,EMEA,5291,233,769.43,8,677.3
2024-07-12,ADV001,CMP3190,Native,EMEA,7555,298,1098.66,8,990.82
2024-07-13,ADV001,CMP8010,Native,EMEA,5544,202,806.22,5,290.04
2024-07-15,ADV001,CMP6252,Native,EMEA,6617,327,962.38,11,1711.01
2024-07-17,ADV001,CMP9212,Native,EMEA,6684,353,972.01,12,1708.58
2024-07-20,ADV001,CMP4610,Native,EMEA,6313,273,918.15,8,289.82
2024-07-21,ADV001,CMP3137,Native,EMEA,7273,389,1057.66,14,480.76
2024-07-24,ADV001,CMP2798,Native,EMEA,6740,234,980.14,7,775.39
2024-07-25,ADV001,CMP4097,Native,EMEA,6995,306,4349.81,7,265.78
2024-07-27,ADV001,CMP8227,Native,EMEA,7983,318,1160.91,10,578.99
2024-07-28,ADV001,CMP4179,Native,EMEA,7509,332,1091.99,12,527.43
2024-07-29,ADV001,CMP7652,Native,EMEA,6393,260,929.82,8,937.08
2024-08-02,ADV001,CMP3349,Native,EMEA,5599,214,814.3,8,730.61
2024-08-04,ADV001,CMP3475,Native,EMEA,4071,179,592.07,5,384.0
2024-08-06,ADV001,CMP6291,Native,EMEA,5015,215,729.34,7,736.91
2024-08-07,ADV001,CMP1207,Native,EMEA,7483,325,1088.25,9,989.71
2024-08-08,ADV001,CMP1236,Native,EMEA,5694,271,828.04,8,161.58
2024-08-10,ADV001,CMP3785,Native,EMEA,4971,225,723.02,6,366.77
2024-08-18,ADV001,CMP5437,Native,EMEA,6034,233,877.59,8,1366.26
2024-08-19,ADV001,CMP4138,Native,EMEA,5778,168,840.37,6,722.83
2024-08-20,ADV001,CMP6907,Native,EMEA,3376,131,491.06,4,337.91
2024-08-21,ADV001,CMP3530,Native,EMEA,5879,264,854.99,6,702.12
2024-08-28,ADV001,CMP6947,Native,EMEA,5525,242,803.58,8,713.6
2024-08-29,ADV001,CMP6175,Native,EMEA,4036,192,587.05,7,354.8
2024-08-31,ADV001,CMP6671,Native,EMEA,3665,138,532.97,5,242.21
2024-09-01,ADV001,CMP3044,Native,EMEA,4163,191,605.43,6,529.04
2024-09-03,ADV001,CMP7548,Native,EMEA,8121,283,1181.01,9,737.39
2024-09-06,ADV001,CMP8961,Native,EMEA,5864,210,852.82,6,646.04
2024-09-08,ADV001,CMP3672,Native,EMEA,5719,257,831.78,7,1047.97
2024-09-09,ADV001,CMP9980,Native,EMEA,5059,235,735.7,7,425.23
2024-09-10,ADV001,CMP8340,Native,EMEA,7642,224,1111.36,7,644.14
2024-09-12,ADV001,CMP1365,Native,EMEA,7836,329,5598.69,10,314.01
2024-09-13,ADV001,CMP7511,Native,EMEA,5943,227,864.24,8,687.53
2024-09-14,ADV001,CMP9569,Native,EMEA,6783,255,986.4,7,370.37
2024-09-15,ADV001,CMP7303,Native,EMEA,7306,291,1062.47,10,400.37
2024-09-16,ADV001,CMP7267,Native,EMEA,6309,294,917.48,9,1516.44
2024-09-20,ADV001,CMP1038,Native,EMEA,4882,200,710.08,8,176.28
2024-09-21,ADV001,CMP9789,Native,EMEA,5578,238,811.27,7,1083.04
2024-09-22,ADV001,CMP5082,Native,EMEA,7415,317,1078.43,8,1091.77
2024-09-25,ADV001,CMP4300,Native,EMEA,6583,300,957.4,9,398.26
2024-09-27,ADV001,CMP3159,Native,EMEA,6004,242,873.17,7,1036.08
2024-09-28,ADV001,CMP6110,Native,EMEA,5613,232,816.26,7,1213.04
2024-09-29,ADV001,CMP8321,Native,EMEA,6422,231,934.04,7,571.62
2024-10-01,ADV001,CMP4959,Native,EMEA,4172,198,606.73,6,736.63
2024-10-02,ADV001,CMP1663,Native,EMEA,8400,390,1221.59,14,884.4
2024-10-04,ADV001,CMP2651,Native,EMEA,6733,301,979.14,6,261.55
2024-10-06,ADV001,CMP3010,Native,EMEA,6581,297,957.02,11,747.02
2024-10-07,ADV001,CMP2449,Native,EMEA,6066,209,882.17,7,796.86
2024-10-08,ADV001,CMP4331,Native,EMEA,7486,288,1088.7,8,751.02
2024-10-10,ADV001,CMP2431,Native,EMEA,5855,246,851.48,7,586.7
2024-10-15,ADV001,CMP6347,Native,EMEA,5393,200,784.33,5,707.52
2024-10-18,ADV001,CMP7342,Native,EMEA,5857,209,851.74,5,819.87
2024-10-20,ADV001,CMP9100,Native,EMEA,4688,206,681.87,7,693.82
2024-10-21,ADV001,CMP1597,Native,EMEA,6234,256,906.66,6,229.53
2024-10-22,ADV001,CMP5624,Native,EMEA,6957,252,1011.8,8,1260.98
2024-10-23,ADV001,CMP4750,Native,EMEA,6322,248,919.44,7,883.89
2024-10-24,ADV001,CMP6055,Native,EMEA,5526,229,803.65,7,1043.17
2024-10-26,ADV001,CMP4867,Native,EMEA,7390,315,1074.74,11,504.45
2024-10-27,ADV001,CMP7744,Native,EMEA,4884,223,710.37,7,743.35
2024-10-30,ADV001,CMP9078,Native,EMEA,5205,202,757.05,6,847.18
2024-10-31,ADV001,CMP1258,Native,EMEA,4996,176,726.61,5,656.72
2024-11-01,ADV001,CMP8133,Native,EMEA,8381,293,1218.79,9,703.72
2024-11-02,ADV001,CMP5364,Native,EMEA,8474,351,1232.4,13,2271.62
2024-11-04,ADV001,CMP1645,Native,EMEA,8925,335,1297.95,10,806.44
2024-11-05,ADV001,CMP1587,Native,EMEA,9178,366,1334.8,9,1363.16
2024-11-08,ADV001,CMP7980,Native,EMEA,7491,294,1089.42,9,1258.31
2024-11-09,ADV001,CMP1155,Native,EMEA,5293,206,769.73,7,174.85
2024-11-10,ADV001,CMP1948,Native,EMEA,9045,329,1315.34,10,1586.22
2024-11-11,ADV001,CMP3454,Native,EMEA,7448,335,1083.12,12,1516.77
2024-11-18,ADV001,CMP8789,Native,EMEA,8193,396,1191.5,13,316.52
2024-11-19,ADV001,CMP2531,Native,EMEA,7885,355,1146.69,12,274.57
2024-11-20,ADV001,CMP1040,Native,EMEA,6130,245,891.55,6,911.55
2024-11-22,ADV001,CMP3524,Native,EMEA,9133,397,1328.16,14,1608.82
2024-11-23,ADV001,CMP8851,Native,EMEA,7502,247,1090.99,9,1005.62
2024-11-26,ADV001,CMP7581,Native,EMEA,7312,338,1063.39,12,1927.64
2024-11-27,ADV001,CMP2846,Native,EMEA,9107,439,1324.43,14,1639.88
2024-11-28,ADV001,CMP5005,Native,EMEA,9770,392,1420.85,11,1078.29
2024-12-02,ADV001,CMP2325,Native,EMEA,8009,249,-1164.76,8,519.27
2024-12-04,ADV001,CMP7376,Native,EMEA,6478,252,942.11,9,846.51
2024-12-07,ADV001,CMP4629,Native,EMEA,7861,294,1143.18,11,1088.64
2024-12-10,ADV001,CMP1987,Native,EMEA,8372,360,1217.48,13,797.0
2024-12-11,ADV001,CMP1935,Native,EMEA,8557,328,1244.46,10,814.14
2024-12-12,ADV001,CMP5658,Native,EMEA,8854,389,1287.67,12,1523.66
2024-12-13,ADV001,CMP5008,Native,EMEA,9770,418,1420.91,13,2137.1
2024-12-14,ADV001,CMP5318,Native,EMEA,8882,361,1291.75,9,1011.17
2024-12-15,ADV001,CMP2823,Native,EMEA,9913,393,1441.61,12,1281.67
2024-12-16,ADV001,CMP5000,Native,EMEA,8087,261,1176.14,8,905.21
2024-12-17,ADV001,CMP1913,Native,EMEA,6438,267,936.26,8,1135.24
2024-12-18,ADV001,CMP1929,Native,EMEA,8534,329,1241.08,10,855.41
2024-12-19,ADV001,CMP3309,Native,EMEA,10613,546,1543.49,18,751.07
2024-12-20,ADV001,CMP7789,Native,EMEA,8967,290,1304.12,9,1476.12
2024-12-21,ADV001,CMP6498,Native,EMEA,6028,205,876.71,7,312.64
2024-12-22,ADV001,CMP9491,Native,EMEA,5279,246,767.71,7,934.1
2024-12-23,ADV001,CMP7905,Native,EMEA,6476,273,941.77,9,478.52
2024-12-24,ADV001,CMP4162,Native,EMEA,7802,296,1134.69,10,1564.09
2024-12-25,ADV001,CMP1882,Native,EMEA,8739,438,1270.88,14,2059.03
2024-12-26,ADV001,CMP9125,Native,EMEA,8760,362,1273.98,12,1898.01
2024-12-27,ADV001,CMP7142,Native,EMEA,8701,255,1265.33,11,1743.42
2024-12-28,ADV001,CMP4935,Native,EMEA,7935,0,1153.95,12,2152.56
2024-01-01,ADV002,CMP1695,Native,APAC,89896,5638,3921.4,109,7401.46
2024-01-02,ADV002,CMP3235,Native,APAC,80245,0,3500.44,90,10913.85
2024-01-03,ADV002,CMP2381,Native,APAC,82633,4904,3604.61,95,9311.94
2024-01-05,ADV002,CMP6776,Native,APAC,77618,4946,10841.0,129,16981.69
2024-01-06,ADV002,CMP4965,Native,APAC,83639,5240,3648.49,90,5146.33
2024-01-09,ADV002,CMP1182,Native,APAC,64502,3707,2813.7,90,4957.55
2024-01-10,ADV002,CMP7846,Native,APAC,104207,4960,4545.67,97,12534.22
2024-01-12,ADV002,CMP8016,Native,APAC,77312,3990,3372.48,101,4583.37
2024-01-13,ADV002,CMP6951,Native,APAC,66340,0,2893.86,89,2672.7
2024-01-18,ADV002,CMP7091,Native,APAC,60867,3850,2655.11,75,12202.47
2024-01-19,ADV002,CMP4607,Native,APAC,84700,4833,3694.77,108,4563.92
2024-01-20,ADV002,CMP2124,Native,APAC,86926,4947,3791.87,108,7310.34
2024-01-21,ADV002,CMP3257,Native,APAC,87998,0,3838.6,89,10814.2
2024-01-22,ADV002,CMP2772,Native,APAC,73939,4974,3225.34,98,7779.81
2024-01-25,ADV002,CMP2548,Native,APAC,63063,4031,2750.92,73,9790.26
2024-01-28,ADV002,CMP8011,Native,APAC,96874,5940,4225.83,118,2637.41
2024-01-29,ADV002,CMP5214,Native,APAC,83636,4554,3648.37,107,17165.32
2024-01-30,ADV002,CMP3792,Native,APAC,62003,3542,2704.67,89,15678.44
2024-02-04,ADV002,CMP9835,Native,APAC,45676,2651,1992.5,63,11079.88
2024-02-05,ADV002,CMP9707,Native,APAC,56579,3305,2468.08,71,8273.39
2024-02-06,ADV002,CMP8468,Native,APAC,75048,4343,3273.73,78,4004.0
2024-02-08,ADV002,CMP1215,Native,APAC,66472,4149,2899.63,89,4113.67
2024-02-09,ADV002,CMP2696,Native,APAC,65273,3703,2847.34,89,15031.84
2024-02-10,ADV002,CMP3645,Native,APAC,89759,4079,3915.43,88,8808.5
2024-02-11,ADV002,CMP8888,Native,APAC,57170,3293,2493.84,89,14082.81
2024-02-12,ADV002,CMP3743,Native,APAC,53816,3193,2347.55,71,4168.86
2024-02-13,ADV002,CMP1619,Native,APAC,75413,4416,3289.63,89,10232.31
2024-02-14,ADV002,CMP4423,Native,APAC,53000,2994,2311.97,68,11993.11
2024-02-17,ADV002,CMP9148,Native,APAC,82335,4869,3591.59,118,17169.87
2024-02-20,ADV002,CMP3787,Native,APAC,79472,4223,3466.71,92,8150.49
2024-02-23,ADV002,CMP5369,Native,APAC,66028,4308,2880.25,107,17863.46
2024-02-24,ADV002,CMP4699,Native,APAC,66687,4316,2908.98,70,6054.76
2024-02-26,ADV002,CMP2132,Native,APAC,63947,3923,2789.49,72,6409.51
2024-02-28,ADV002,CMP7696,Native,APAC,84301,5551,3677.36,112,10775.94
2024-03-01,ADV002,CMP4607,Native,APAC,97446,5279,4250.75,93,14946.91
2024-03-03,ADV002,CMP5276,Native,APAC,79787,2916,3480.46,71,1935.78
2024-03-04,ADV002,CMP4240,Native,APAC,84197,4761,16375.89,88,5004.27
2024-03-05,ADV002,CMP5591,Native,APAC,77121,3443,3364.13,67,4827.16
2024-03-06,ADV002,CMP9712,Native,APAC,85546,5640,3731.66,145,4720.17
2024-03-08,ADV002,CMP3800,Native,APAC,112745,4642,4918.11,95,16327.97
2024-03-09,ADV002,CMP2661,Native,APAC,56013,3214,2443.37,77,7228.34
2024-03-15,ADV002,CMP4171,Native,APAC,113032,6929,4930.66,168,15061.52
2024-03-16,ADV002,CMP9112,Native,APAC,83562,5521,3645.12,116,6681.11
2024-03-17,ADV002,CMP9850,Native,APAC,103702,4594,4523.67,90,8744.61
2024-03-20,ADV002,CMP8951,Native,APAC,87594,4422,3820.98,102,13018.51
2024-03-21,ADV002,CMP1139,Native,APAC,89092,4207,3886.33,97,4466.89
2024-03-22,ADV002,CMP7340,Native,APAC,116867,5895,5097.91,115,16721.18
2024-03-26,ADV002,CMP7547,Native,APAC,93240,5692,4067.31,133,5132.54
2024-03-29,ADV002,CMP8162,Native,APAC,72937,4145,3181.62,104,13803.79
2024-03-30,ADV002,CMP2518,Native,APAC,85272,5785,3719.73,125,15114.01
2024-03-31,ADV002,CMP2742,Native,APAC,86423,4708,3769.92,120,14851.29
2024-04-01,ADV002,CMP8619,Native,APAC,118984,8268,-5190.27,164,18592.53
2024-04-02,ADV002,CMP1816,Native,APAC,92147,5362,4019.62,137,17648.05
2024-04-03,ADV002,CMP2818,Native,APAC,108360,6657,4726.83,166,22958.68
2024-04-04,ADV002,CMP1859,Native,APAC,99743,5368,-4350.95,112,6876.11
2024-04-05,ADV002,CMP6166,Native,APAC,110108,5239,4803.1,121,16244.06
2024-04-10,ADV002,CMP5370,Native,APAC,79065,3449,3448.96,77,8867.98
2024-04-11,ADV002,CMP1690,Native,APAC,72570,4536,3165.64,88,7356.07
2024-04-12,ADV002,CMP4258,Native,APAC,72113,3895,3145.7,77,12199.18
2024-04-13,ADV002,CMP6668,Native,APAC,114391,5407,4989.92,124,16476.34
2024-04-14,ADV002,CMP9003,Native,APAC,95902,3649,4183.39,82,4278.42
2024-04-17,ADV002,CMP3068,Native,APAC,119025,6680,5192.08,139,23330.36
2024-04-18,ADV002,CMP9468,Native,APAC,109812,6590,4790.18,163,3467.71
2024-04-19,ADV002,CMP3854,Native,APAC,91730,4860,4001.4,110,16444.11
2024-04-22,ADV002,CMP2700,Native,APAC,101174,4223,4413.39,93,6990.35
2024-04-23,ADV002,CMP9676,Native,APAC,99614,5093,4345.32,127,12484.13
2024-04-24,ADV002,CMP3294,Native,APAC,74362,4215,3243.79,82,3022.13
2024-04-28,ADV002,CMP7318,Native,APAC,74141,4305,3234.16,92,7944.91
2024-04-29,ADV002,CMP5390,Native,APAC,85194,4186,3716.32,113,2660.32
2024-05-01,ADV002,CMP2776,Native,APAC,119743,6361,5223.39,114,18617.11
2024-05-02,ADV002,CMP3679,Native,APAC,103083,6407,4496.63,152,8436.62
2024-05-03,ADV002,CMP5434,Native,APAC,92002,5843,4013.27,123,6463.63
2024-05-04,ADV002,CMP3565,Native,APAC,88695,3478,13780.55,73,9026.0
2024-05-06,ADV002,CMP1634,Native,APAC,92431,4826,4031.99,105,8407.88
2024-05-08,ADV002,CMP7239,Native,APAC,98461,5356,4295.03,135,10788.78
2024-05-11,ADV002,CMP6255,Native,APAC,109851,6037,4791.88,128,19036.05
2024-05-12,ADV002,CMP4163,Native,APAC,116673,8739,17377.96,216,30533.83
2024-05-14,ADV002,CMP6876,Native,APAC,76364,4484,3331.15,98,13856.66
2024-05-15,ADV002,CMP2629,Native,APAC,94261,4533,4111.83,85,4450.66
2024-05-16,ADV002,CMP5886,Native,APAC,111957,7018,4883.77,165,18029.28
2024-05-17,ADV002,CMP5251,Native,APAC,84505,5247,3686.26,97,16514.34
2024-05-18,ADV002,CMP8647,Native,APAC,111216,6938,4851.42,125,18975.35
2024-05-19,ADV002,CMP3875,Native,APAC,79474,5246,3466.79,105,6460.88
2024-05-21,ADV002,CMP7033,Native,APAC,94710,5768,4131.41,118,19127.67
2024-05-22,ADV002,CMP7396,Native,APAC,103952,4775,4534.57,111,17458.49
2024-05-24,ADV002,CMP1919,Native,APAC,106423,5856,4642.35,124,4071.61
2024-05-25,ADV002,CMP5478,Native,APAC,102529,6530,4472.5,172,27229.2
2024-05-26,ADV002,CMP7838,Native,APAC,113519,5749,4951.87,128,14414.65
2024-05-27,ADV002,CMP5383,Native,APAC,87014,6206,3795.71,127,20036.44
2024-05-28,ADV002,CMP2448,Native,APAC,45319,2916,1976.91,70,5578.97
2024-05-29,ADV002,CMP5749,Native,APAC,123607,7257,5391.92,148,7794.66
2024-05-31,ADV002,CMP5108,Native,APAC,117912,5052,5143.5,81,10506.68
2024-06-02,ADV002,CMP6021,Native,APAC,117899,6477,5142.96,167,12823.59
2024-06-03,ADV002,CMP6047,Native,APAC,141446,6639,6170.1,152,19837.33
2024-06-05,ADV002,CMP7419,Native,APAC,128000,6662,5583.55,146,25658.22
2024-06-07,ADV002,CMP2094,Native,APAC,126511,8524,5518.62,159,25869.76
2024-06-10,ADV002,CMP2942,Native,APAC,100488,5465,4383.46,113,19853.23
2024-06-11,ADV002,CMP9828,Native,APAC,105442,5080,4599.55,94,5376.89
2024-06-13,ADV002,CMP6462,Native,APAC,127121,8448,-5545.22,178,25790.24
2024-06-15,ADV002,CMP1687,Native,APAC,86078,5380,3754.87,107,3115.48
2024-06-16,ADV002,CMP7587,Native,APAC,113686,5604,4959.15,119,11345.31
2024-06-18,ADV002,CMP3032,Native,APAC,103248,4625,4503.86,87,8059.54
2024-06-20,ADV002,CMP2445,Native,APAC,103265,7689,4504.6,139,15071.21
2024-06-21,ADV002,CMP7855,Native,APAC,123344,7140,5380.46,148,14581.32
2024-06-22,ADV002,CMP5820,Native,APAC,134962,7088,5887.28,145,19823.56
2024-06-23,ADV002,CMP1336,Native,APAC,124895,6326,5448.14,120,2412.55
2024-06-25,ADV002,CMP5876,Native,APAC,96056,5239,4190.11,122,3221.95
2024-06-26,ADV002,CMP1870,Native,APAC,109691,7357,4784.92,153,6841.97
2024-06-27,ADV002,CMP1142,Native,APAC,139234,7020,6073.6,186,26423.71
2024-06-28,ADV002,CMP2717,Native,APAC,104636,6252,4564.41,196,5495.62
2024-06-29,ADV002,CMP2690,Native,APAC,123116,7563,5370.52,148,13987.36
2024-07-02,ADV002,CMP4924,Native,APAC,87941,5802,3836.12,114,4568.87
2024-07-03,ADV002,CMP7999,Native,APAC,106292,6440,4636.65,155,13791.59
2024-07-05,ADV002,CMP8538,Native,APAC,93995,5614,4100.21,122,7622.49
2024-07-06,ADV002,CMP7226,Native,APAC,123670,6759,5394.68,134,17218.76
2024-07-10,ADV002,CMP5005,Native,APAC,70104,3559,3058.05,64,9826.02
